Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,10.2,13.1,17.8,20.9,23.1,24.3,24.8,24.5,23.1,19.3,13.8,10.5
2005,9.8,12.4,17.2,21.2,23.5,24.1,24.6,24.2,22.8,18.7,13.2,9.9
2006,10.5,12.9,17.5,21.0,23.3,24.5,25.0,24.7,23.0,19.0,13.5,10.1
2007,10.1,13.3,18.0,21.4,23.7,24.8,25.2,24.9,23.4,19.5,14.0,10.7
2008,9.5,12.6,17.0,20.7,22.8,23.9,24.5,24.1,22.6,18.4,12.9,9.6
2009,10.8,13.5,18.3,21.6,23.9,25.0,25.4,25.1,23.6,19.8,14.3,10.9
2010,11.0,13.8,18.5,21.9,24.2,25.3,25.7,25.4,23.9,20.1,14.6,11.2
2011,9.9,12.7,17.3,20.8,22.9,24.0,24.7,24.3,22.7,18.5,13.0,9.8
2012,10.4,13.0,17.7,21.1,23.4,24.4,24.9,24.6,23.2,19.2,13.7,10.4
2013,10.6,13.4,18.1,21.5,23.8,24.9,25.3,25.0,23.5,19.7,14.1,10.8
2014,11.1,14.0,18.6,22.0,24.3,25.4,25.8,25.5,24.0,20.2,14.7,11.3
